id,frame,x,y,z
0,74,115.456952,177.390506,169.893341
1,24,178.475372,73.487198,71.964610
2,85,210.563951,118.191633,70.494854
3,51,118.593751,177.231484,170.877251
4,71,103.716413,141.590553,225.445797
5,42,149.306054,183.459533,147.379289
6,19,119.091503,109.437345,237.440468
7,88,189.430109,26.436968,3.166866
8,38,174.043813,145.742134,160.422200
9,90,128.250783,33.050363,45.006103
10,82,107.789172,170.817992,177.407605
11,36,180.960376,71.160109,92.060081
12,88,63.028613,99.121942,107.738751
13,77,45.547902,137.180951,73.553380
14,3,211.646345,109.076379,68.616264
15,8,209.004638,70.009755,32.012292
16,76,70.473561,63.534614,72.190011
17,86,119.943017,117.474206,243.497796
18,58,142.564054,62.948406,131.903359
19,66,112.610921,164.996663,184.452567
20,87,208.381389,74.050873,44.308454
21,28,63.078660,216.416984,14.945487
22,63,51.169650,71.474386,47.065559
23,64,208.976837,131.425146,87.191053
24,37,88.755133,80.059747,134.197030
25,67,186.356139,36.862727,3.360972
26,30,25.304996,106.200730,19.039177
27,78,172.951461,56.071603,79.395932
28,68,96.616663,144.817974,203.392128
29,60,158.680229,50.323453,72.912637
30,88,208.310009,134.020080,83.543335
31,53,216.546165,79.245923,45.420728
32,91,171.590351,97.129941,161.584867
33,39,190.103832,113.676867,131.093028
34,61,213.806431,117.113790,73.473796
35,33,104.255225,74.899117,145.837951
36,76,42.872489,127.022929,84.830365
37,61,137.777421,180.122342,160.612992
38,54,108.300958,111.457714,232.527239
39,97,104.640333,120.039184,226.891499
40,96,136.411910,176.295128,157.707685
41,83,72.777028,29.458821,0.190798
42,55,73.572333,24.630605,4.259361
43,60,73.567723,29.347061,6.217962
44,50,150.663423,42.607854,62.757373
45,6,171.334735,61.028164,86.760682
46,92,160.483814,103.223967,194.035103
47,29,215.702418,101.045703,62.105895
48,47,102.343047,113.368569,224.419038
49,48,158.727068,132.969239,218.809831
50,69,167.570403,126.993049,183.115402
51,4,113.361208,169.767647,174.762324
52,14,116.212659,105.007767,234.618187
53,45,110.589387,148.761054,220.018634
54,11,114.489490,57.010729,101.442281
55,10,149.604264,146.390118,208.037207
56,0,117.051560,29.390475,43.109495
57,55,123.718321,156.397498,210.126124
58,94,104.194075,164.489355,185.532697
59,55,171.504869,153.561554,162.819252
60,79,215.633595,96.022076,55.673007
61,9,163.499483,153.931747,165.970810
62,80,209.489483,62.620184,31.271463
63,38,106.877573,57.929615,97.860461
64,32,218.720834,91.408335,55.280222
65,49,111.954143,134.555179,246.966719
66,83,100.467504,161.745877,185.304696
67,6,103.367159,129.898090,232.111924
68,72,201.808482,48.410978,16.398808
69,27,106.036247,143.833603,221.865256
70,17,111.176149,56.428591,103.177611
71,35,46.704082,189.088748,35.759886
72,0,170.610527,90.702856,154.687669
73,77,140.230098,178.212927,150.525559
74,8,200.778689,150.504499,96.334139
75,69,106.116684,30.564091,30.038763
76,27,213.061813,114.470673,67.448386
77,8,155.699217,70.426831,136.569376
78,39,78.382465,31.025180,5.600689
79,28,112.356246,114.278065,227.566746
80,92,125.929570,178.338442,162.344512
81,85,21.218351,114.990829,12.231021
82,3,213.675892,93.077110,50.812557
83,66,195.538034,161.164190,107.399817
84,77,139.976097,121.091316,254.076998
85,38,216.883296,105.550067,67.428823
86,67,103.501398,158.842562,188.808829
87,76,95.029831,58.744196,91.231476
88,93,209.994142,133.167082,90.912021
89,56,143.137118,67.462482,126.081525
90,12,196.512506,38.918557,12.120273
91,54,152.928978,110.145129,222.178118
92,50,133.947699,181.051594,164.196739
93,76,144.976594,182.644466,149.971428
94,97,157.115055,179.845061,141.304599
95,97,143.259812,37.949045,56.384008
96,10,122.893278,108.664597,238.269003
97,44,108.309105,123.382897,235.015633
98,34,109.975530,134.009456,228.044592
99,44,212.895424,64.366755,31.254947
100,66,110.330379,124.553845,238.468836
101,58,124.317932,179.525462,164.647566
102,70,115.493772,173.591374,175.817020
103,86,142.360998,81.825761,176.486198
104,14,209.134755,62.228110,29.292467
105,64,206.362825,64.200402,31.133030
106,71,152.782803,91.990305,185.163821
107,61,17.110558,107.192370,17.187909
108,59,186.264194,136.253621,144.093986
109,54,113.392948,72.987354,148.048361
110,15,106.875288,136.237971,230.352003
111,54,172.584775,94.509127,154.330263
112,19,207.993928,144.813678,98.135186
113,45,94.080705,57.262701,87.832813
114,82,165.084159,159.238266,171.494775
115,12,136.354547,115.321084,250.430707
116,98,134.537422,165.287611,194.210921
117,24,197.897685,38.275869,11.293152
118,44,104.684166,118.299628,220.023843
119,9,214.933388,130.388042,85.887136
120,82,98.538155,23.042977,23.535301
121,66,137.147887,155.377236,213.185475
122,14,117.351658,159.328055,215.751428
123,78,29.401244,103.834827,26.623544
124,71,136.079165,61.053809,120.063339
125,66,145.548583,183.713867,147.527606
126,10,186.101621,123.233512,137.640439
127,64,201.823155,48.577729,20.758632
128,2,176.549489,110.157939,169.943118
129,20,183.305637,145.636014,151.105002
130,85,61.794043,99.568327,105.812373
131,52,128.568270,161.182682,203.833045
132,50,198.930282,48.747857,20.345363
133,64,98.767775,132.015337,213.723895
134,77,117.645901,109.163223,236.264900
135,45,211.038029,114.159350,70.737354
136,60,110.818267,167.452270,174.500266
137,75,150.663258,147.665067,205.137490
138,99,148.580593,157.554968,206.244725
139,83,100.996904,146.075186,195.870610
140,70,110.790307,123.909457,238.385686
141,73,96.622597,133.072841,210.224351
142,51,106.673391,78.309186,150.226177
143,35,64.664911,63.784664,58.228220
144,17,189.530275,160.058734,112.156370
145,45,192.172414,37.708673,11.932675
146,45,216.409505,114.932698,72.982154
147,95,108.978169,148.511261,220.068104
148,63,192.488020,40.482756,12.080556
149,89,111.648208,171.253570,179.719983
150,75,152.960579,164.941821,185.301390
151,75,40.952114,84.493397,39.535540
152,68,208.720132,80.221118,42.458386
153,71,202.517783,61.208525,26.714804
154,9,86.205993,22.806400,11.504675
155,92,154.891530,181.410437,143.139787
156,50,127.973311,181.144619,163.735754
157,12,101.432243,132.489153,212.605290
158,84,96.777058,119.923876,221.042512
159,4,213.282398,108.840974,71.269530
160,13,57.013557,70.429787,54.797766
161,77,134.927933,112.787980,248.319227
162,89,148.985231,164.493565,185.117873
163,76,106.572613,25.573009,22.009393
164,83,136.678010,176.904687,155.227731
165,89,83.090391,22.694396,6.900750
166,74,173.109710,59.158341,83.470040
167,15,119.701967,173.684270,173.376185
168,7,102.131168,159.049726,191.150600
169,61,191.660326,95.801567,118.611144
170,2,22.165310,102.559278,15.179204
171,29,109.176337,95.940795,186.731273
172,72,118.343324,109.231135,233.144050
173,76,146.011812,42.300082,62.184410
174,36,15.948228,117.508352,7.606343
175,59,134.696850,114.223040,249.544404
176,77,95.876473,132.319984,206.595897
177,30,211.164374,133.859881,87.352886
178,21,153.865370,99.325135,189.369042
179,38,134.851884,121.381151,253.884483
180,54,192.661544,109.206032,129.813293
181,0,102.503293,210.935016,66.223975
182,48,199.792133,156.005479,102.571317
183,23,30.158050,94.144680,28.994287
184,43,169.580713,119.853428,176.147162
185,92,205.176429,63.990054,35.836164
186,79,100.974047,29.293508,22.354111
187,75,187.795898,73.466894,104.068758
188,90,180.329685,66.464203,92.384592
189,70,110.211056,112.542445,228.250800
190,41,207.789454,139.412815,90.213021
191,57,137.726898,164.969976,195.900496
192,62,211.227205,74.015698,36.682415
193,56,104.250630,122.341925,219.845662
194,21,125.023407,148.178560,231.440979
195,43,145.500326,44.974790,61.381242
196,91,174.362701,150.919515,161.366937
197,79,106.449123,134.466033,228.067206
198,68,72.167203,122.459269,148.495930
199,38,213.961988,102.947502,63.954596
200,92,99.727847,146.812286,198.007828
201,8,171.479508,57.600097,88.770411
202,14,174.153518,103.485414,164.067253
203,57,175.261310,175.075271,129.002916
204,4,208.763945,58.532475,21.288414
205,13,117.813137,170.290524,169.428498
206,47,109.863826,163.311466,184.119490
207,85,98.019119,152.094309,195.820280
208,46,174.074444,102.162643,160.340111
209,72,132.408257,114.512007,244.929324
210,20,145.702814,166.828890,184.228139
211,36,128.265527,110.436024,238.273596
212,19,154.900516,44.623061,61.385542
213,35,71.708552,61.472268,69.391126
214,66,48.523770,196.099667,32.089600
215,76,192.785641,116.230586,134.485381
216,71,115.337499,151.690206,212.742827
217,62,98.396574,122.192192,220.427315
218,3,112.209403,163.433206,179.186024
219,2,136.820393,169.712125,189.884437
220,78,129.181167,113.482686,248.482850
221,24,79.672106,85.044760,130.568366
222,50,210.264332,88.564109,47.215702
223,12,199.660614,40.105926,14.764584
224,86,146.735140,153.407269,214.301775
225,88,210.931973,62.112889,29.108406
226,29,127.858492,172.504058,168.060730
227,20,140.544530,67.145352,127.066825
228,90,189.884412,165.289196,114.472857
229,82,127.615457,111.934346,245.484943
230,51,187.874937,122.138171,141.756120
231,48,178.422191,142.964859,158.456734
232,56,134.244830,177.923595,163.074607
233,70,53.648490,72.941132,56.422216
234,74,122.661066,159.414482,210.148105
235,35,211.584911,131.245360,87.906584
236,84,168.234505,87.578820,153.056613
237,43,217.369922,110.671247,70.472000
238,1,118.359011,170.034785,179.684314
239,81,155.873618,102.149320,191.910658
240,91,105.480521,113.057674,221.099834
241,82,78.054671,29.632505,7.270254
242,48,185.898987,120.895899,135.064600
243,78,102.177076,59.775350,93.162386
244,58,175.072929,144.778970,159.654955
245,42,50.161199,190.531077,37.793813
246,27,138.978598,182.152471,156.298695
247,48,204.209274,62.585695,31.003400
248,92,114.807903,156.979543,213.000369
249,23,137.224758,116.441700,250.148416
250,10,109.621670,151.675762,215.065495
251,49,114.114837,113.514906,235.217286
252,8,207.723071,75.555798,39.650637
253,35,108.892992,94.391988,186.947667
254,44,156.211879,176.867439,138.148671
255,2,60.292143,101.254105,101.784774
256,85,106.920409,150.264058,216.966776
257,76,210.956977,77.760046,45.152090
258,17,77.229488,113.253197,152.134419
259,6,37.945879,89.522643,41.042274
260,40,61.895723,219.980420,11.371479
261,67,186.368436,159.842609,110.328293
262,56,50.283754,73.028128,51.499563
263,50,106.284134,161.987585,191.292147
264,18,214.348630,112.483542,68.155374
265,32,151.152834,164.940150,178.660274
266,42,192.429065,123.754052,140.691835
267,9,201.959643,51.871330,18.300761
268,91,141.733074,125.767706,254.474712
269,39,173.828244,66.325944,86.698274
270,30,161.179637,110.718615,198.809066
271,77,211.320651,69.198817,38.289354
272,4,212.625800,109.218704,69.786349
273,58,53.421328,69.517827,60.765121
274,56,111.095610,115.056763,247.020132
275,0,134.283933,166.078144,201.972903
276,33,193.338849,156.091555,110.642658
277,21,109.434460,169.354364,178.155829
278,36,142.302620,184.607286,155.937894
279,85,129.170816,179.382068,163.933655
280,47,75.082001,62.616733,72.477040
281,48,118.161980,111.491457,233.763313
282,49,117.827458,109.630434,229.752995
283,30,193.656617,41.702712,16.128665
284,24,209.392247,129.730546,76.749901
285,97,44.578742,137.080866,70.541372
286,58,189.184169,102.947182,121.067279
287,27,214.074759,98.487993,63.624634
288,73,57.489745,105.875491,106.595546
289,2,148.630592,158.568933,213.275668
290,47,100.227954,151.776547,195.026695
291,44,115.688851,116.835586,240.728533
292,19,99.693334,137.547880,206.912121
293,68,61.144074,106.761756,106.474271
294,20,144.908502,167.544419,191.545974
295,22,123.199380,29.518958,39.538951
296,57,173.033597,175.282683,130.669815
297,95,97.741641,138.542360,209.811383
298,33,218.199867,102.215699,66.140962
299,95,156.686221,46.449823,73.580784
300,77,142.737555,33.559524,57.076729
301,18,212.098815,80.895896,47.461186
302,89,190.160807,37.261098,2.139407
303,55,213.403974,121.942537,80.604855
304,20,158.326491,83.688939,142.137372
305,45,214.611208,93.200651,59.843335
306,3,150.787452,69.210782,135.827099
307,58,169.344225,175.838323,135.834216
308,14,47.667015,182.094446,44.065473
309,32,120.051990,111.075691,240.767422
310,40,107.059462,165.869103,177.403670
311,28,168.257156,135.770847,188.920359
312,35,146.445382,179.543694,148.970834
313,93,66.094358,218.440183,4.710829
314,94,205.351354,65.668001,38.470991
315,45,162.884472,122.609566,211.635244
316,90,210.196181,88.800870,56.229162
317,33,209.648731,68.834961,39.992679
318,95,189.182393,34.321196,3.156962
319,3,132.496458,149.403364,237.868987
320,69,205.208921,132.872782,85.964386
321,52,40.820867,153.483675,66.916204
322,74,187.111486,93.907151,110.888664
323,53,153.448037,183.964427,142.828276
324,24,164.359673,177.502435,133.124667
325,55,213.934769,133.028849,85.542619
326,85,35.447763,86.755820,39.271176
327,41,110.372028,52.580890,99.436995
328,37,212.169775,115.826647,75.716351
329,88,149.483211,138.367430,222.631712
330,82,66.343040,227.042544,1.502051
331,1,146.812357,167.226708,188.828260
332,92,120.179792,111.158183,232.874361
333,85,135.068897,59.530944,115.437649
334,77,194.759107,104.802006,123.256261
335,55,16.565828,112.048319,10.485984
336,68,106.044268,118.678077,219.593032
337,36,213.380720,101.107105,64.483063
338,50,169.760801,135.165999,191.012623
339,30,113.748082,109.850052,233.044327
340,34,102.601441,92.430271,179.118147
341,30,34.012285,91.282743,32.150338
342,80,98.575096,59.000800,87.360036
343,7,165.627742,232.773865,21.984787
344,94,100.552004,152.398373,193.208963
345,69,195.473794,36.202173,7.926050
346,60,79.876902,87.773306,125.920544
347,68,144.582283,60.373892,122.483417
348,84,77.292096,25.613314,8.718227
349,3,171.073589,175.980638,126.412852
350,16,185.814086,124.409610,136.156092
351,28,143.119988,179.822392,153.454571
352,4,191.888105,30.190843,2.208746
353,75,214.452114,104.389213,58.782663
354,97,105.367188,25.125562,23.486988
355,98,182.784432,140.051090,147.412813
356,0,150.154493,183.929270,147.626784
357,31,134.438721,180.935563,152.185842
358,16,108.753584,163.705885,186.842456
359,42,97.911258,129.230529,213.131024
360,43,135.300746,112.610555,251.385606
361,2,183.570716,169.804210,120.753090
362,26,159.731347,107.486787,198.987310
363,69,19.641550,118.119929,3.210476
364,48,112.649666,119.441775,242.576713
365,16,152.064218,181.890474,142.230163
366,95,212.834824,117.356524,72.723662
367,11,103.311982,29.481199,31.597562
368,43,119.496626,57.149225,110.421846
369,80,193.257868,32.963999,4.970014
370,83,111.781950,115.429237,228.352687
371,38,138.338932,165.943102,195.782087
372,83,206.278019,53.093817,17.505578
373,20,195.563099,44.830801,12.972852
374,83,139.532572,35.669431,55.598890
375,54,96.992120,153.425238,193.893443
376,1,128.847040,58.414166,112.786335
377,39,163.748640,114.227016,198.911619
378,60,182.747575,76.647795,101.547913
379,52,116.012864,23.486369,34.173718
380,20,169.816058,60.622684,83.872928
381,49,112.962121,170.073043,178.608761
382,53,181.700348,73.793614,100.028828
383,88,182.872894,78.747752,103.350707
384,60,94.617204,147.280200,196.574203
385,60,114.248072,171.643527,173.239700
386,45,102.025155,158.974881,188.282993
387,75,186.591721,113.859529,130.259014
388,85,188.156474,104.356068,117.281155
389,50,187.459340,124.166655,134.629250
390,52,31.051197,88.984239,34.703913
391,91,115.433868,165.326862,175.663841
392,53,80.691489,22.643432,10.323888
393,53,102.377853,134.355463,229.379295
394,22,208.866717,52.537254,20.906200
395,42,180.491874,71.892360,102.629815
396,95,159.849200,46.143239,66.060022
397,57,188.560887,100.394386,117.219353
398,17,104.684181,159.699043,189.386608
399,12,127.126768,31.082512,44.946075
400,1,77.517227,116.655806,148.096695
401,34,100.910418,120.956043,221.906235
402,48,95.535663,132.246137,215.576232
403,2,117.484790,23.968195,33.069110
404,20,178.691118,145.925198,157.725040
405,42,162.225854,84.906219,151.214817
406,65,167.816739,129.342515,188.150370
407,47,102.837473,117.162972,222.776222
408,1,53.239735,198.569332,30.354028
409,43,210.044360,66.469328,36.059022
410,76,207.717755,65.062055,31.061156
411,56,211.301747,126.587780,78.235234
412,90,134.962071,176.697718,153.469842
413,52,101.898215,152.772077,195.560422
414,53,127.133079,164.724247,196.887971
415,69,111.587558,140.566717,237.489962
416,26,191.251221,96.568906,117.417439
417,44,185.725071,172.859868,119.941447
418,77,72.221943,172.725799,107.761766
419,19,126.792568,28.386075,41.436214
420,91,191.154827,95.871166,119.102706
421,63,188.554665,122.488447,133.460996
422,70,179.408750,169.547866,129.311812
423,92,126.916811,30.547315,49.219475
424,21,103.626226,141.222623,220.546666
425,68,154.764517,163.232586,172.232343
426,76,127.256226,161.896928,198.807027
427,63,55.704769,199.574655,22.623171
428,35,119.296657,158.281024,207.087386
429,52,112.147303,77.724077,155.666511
430,1,103.321558,127.496947,237.918913
431,83,115.638123,172.398998,175.435336
432,86,101.166253,115.428482,224.920804
433,20,129.764056,27.133081,45.468892
434,25,217.813660,97.891200,61.319264
435,13,211.399543,89.032360,53.981684
436,8,202.210190,143.353018,89.598414
437,77,151.070059,76.339904,137.582694
438,65,107.608973,111.734323,227.643206
439,70,186.906162,164.470564,111.994577
440,67,112.026253,171.986404,171.057768
441,47,213.094194,96.608474,61.219877
442,59,210.953707,79.458353,43.196732
443,9,112.070977,166.516862,180.750019
444,35,101.311185,132.176745,231.751019
445,30,118.527763,109.968374,233.148536
446,38,117.982197,162.881186,207.167811
447,12,115.791234,146.505268,233.948810
448,86,149.145608,37.174458,61.457212
449,37,202.435195,145.938979,96.715302
450,16,141.014053,121.291636,250.011254
451,51,144.284908,35.719792,54.143133
452,2,104.790892,98.491723,178.415826
453,91,173.936775,171.687297,126.672112
454,88,148.457032,126.792398,236.119934
455,11,35.799740,85.654356,39.616340
456,2,120.956276,116.958204,252.502043
457,95,110.632461,57.200344,99.748776
458,13,43.038075,72.210495,50.868552
459,88,183.903829,132.138101,140.511363
460,48,134.280646,110.839757,247.278489
461,93,215.736075,92.573409,52.066130
462,9,198.011721,157.694404,103.621058
463,96,105.032629,53.761901,94.672148
464,76,164.090759,92.712061,153.903712
465,26,117.870557,112.067316,243.919064
466,19,105.953089,116.207823,225.328951
467,31,171.714245,155.984285,160.112689
468,85,150.346366,69.387534,134.054408
469,82,182.237718,140.170787,151.174599
470,10,43.731908,151.502170,68.915068
471,11,188.923262,109.768602,128.259677
472,71,204.062531,61.581606,28.226408
473,16,147.419822,146.518296,228.527224
474,52,142.284558,114.803177,255.736102
475,82,212.322895,98.608162,63.127508
476,38,157.410593,114.173352,197.018708
477,46,191.395568,160.159275,114.132024
478,98,130.852871,145.381536,251.046982
479,81,125.746088,30.332187,40.378301
480,28,171.141610,110.865706,169.275339
481,81,194.459451,149.351327,99.695724
482,3,206.441401,59.393377,26.551373
483,30,105.138234,26.152827,21.794789
484,3,213.949742,120.781886,70.261602
485,17,164.621206,174.758080,136.946552
486,82,204.359198,51.873404,22.814928
487,33,111.337538,164.012093,179.050405
488,89,201.897909,153.047399,105.384238
489,39,97.730960,148.671589,196.525954
490,59,57.857561,97.541878,108.541585
491,35,213.503590,89.417465,54.798545
492,50,122.064221,143.700901,246.329328
493,97,168.025931,122.649697,174.748449
494,62,45.052047,75.146153,50.468043
495,5,165.720547,158.616069,167.021972
496,52,188.135024,81.352415,106.887255
497,18,94.025946,147.760533,199.360532
498,78,204.525004,145.398338,101.917729
499,14,103.298400,144.149664,223.283508
500,43,178.769061,171.863821,126.160791
501,47,172.717750,125.459304,180.395335
502,87,184.244154,75.192703,98.872922
503,72,193.574103,120.556367,132.000579
504,92,148.187130,176.964264,148.310398
505,11,182.762031,68.986838,88.466813
506,41,125.703273,115.689771,254.772328
507,5,169.573930,62.239885,85.128932
508,47,171.602733,58.132047,92.480086
509,46,103.032262,143.074806,219.375575
510,6,172.492744,120.038620,178.121312
511,61,109.739239,163.313163,179.684720
512,81,71.801626,30.274771,3.067669
513,29,130.150924,34.669325,52.708013
514,79,151.840796,184.974713,142.413103
515,49,191.039886,33.540761,2.359410
516,26,95.401785,126.720949,210.055039
517,7,93.826362,133.342662,211.201232
518,35,56.030500,72.277682,53.801665
519,39,211.202867,110.352880,71.088355
520,82,152.080190,46.798991,65.697055
521,25,90.712477,25.051991,10.018342
522,53,112.993059,122.101780,238.440594
523,49,209.468323,139.283854,89.821625
524,79,107.338981,162.823424,191.481940
525,9,187.213638,87.924675,112.731986
526,19,190.804753,36.501296,13.407237
527,7,151.250864,184.099058,147.914587
528,4,169.200901,64.633393,88.921540
529,87,102.138663,128.801330,234.748566
530,37,50.272840,199.064055,28.667400
531,69,194.331257,41.316552,8.505941
532,51,93.572576,136.934934,212.406613
533,78,166.370399,97.350871,154.121435
534,65,217.285033,93.438189,58.603380
535,13,131.731810,111.803436,248.982386
536,47,171.894088,100.586224,165.070270
537,16,47.761376,81.686079,44.198396
538,29,160.117630,157.690680,172.226681
539,88,185.238389,84.631749,103.141729
540,15,106.104393,112.633922,227.341981
541,29,52.291222,77.553655,51.327175
542,56,209.449161,76.870763,41.326677
543,78,165.622797,58.414895,81.960257
544,73,145.894554,158.358957,214.645060
545,49,123.127950,115.349560,253.902105
546,90,101.409421,148.867079,197.467592
547,45,198.991341,158.912962,102.945348
548,31,44.694364,175.821520,49.492288
549,58,97.622931,123.418378,215.376063
550,4,214.608009,109.644541,62.938583
551,9,111.338700,112.793918,225.910753
552,76,128.842839,175.407740,161.067369
553,82,187.438323,162.334763,116.483797
554,86,184.731995,74.225219,104.485300
555,98,63.320817,68.067558,66.649680
556,99,118.929177,116.674461,251.244128
557,27,116.955908,163.135479,208.826082
558,78,128.979118,110.337084,237.906232
559,23,126.476324,165.870232,202.399755
560,46,132.358170,112.363734,242.890920
561,9,150.847729,85.772340,183.148716
562,85,142.300893,38.495298,56.383234
563,19,141.623094,161.970718,185.194124
564,84,160.792695,157.815077,170.234434
565,3,150.201650,177.389360,151.116203
566,18,95.169300,27.402805,18.733048
567,16,216.934840,112.591282,67.174415
568,41,157.255767,144.141262,197.015106
569,82,190.888843,125.391649,136.127011
570,34,36.351197,85.960282,37.615236
571,86,105.262244,162.892830,180.703963
572,75,212.335809,119.452320,78.155602
573,33,171.935479,107.669150,171.745653
574,32,170.976395,175.860089,132.111846
575,51,115.603903,25.759188,36.663665
576,16,148.131144,149.112668,212.684355
577,51,192.517276,162.765020,112.636361
578,16,186.018303,136.704697,144.005261
579,32,122.254501,58.332936,111.637997
580,4,189.293359,91.497687,113.707878
581,66,154.833299,96.236506,189.473996
582,22,77.170344,57.837099,77.523048
583,50,150.060861,180.103852,149.805207
584,80,119.784078,159.978794,205.308593
585,54,133.534329,30.945390,47.179863
586,60,95.996825,137.599071,206.292284
587,91,122.401173,180.230905,164.233362
588,33,178.745806,63.909977,93.359187
589,57,206.581319,142.535619,91.983437
590,2,103.163716,153.542706,193.750692
591,9,120.968471,149.189866,232.952887
592,67,127.204892,94.213982,200.389974
593,46,151.390908,44.907464,63.245599
594,58,128.512794,30.211442,45.298072
595,13,200.186508,146.780992,97.626436
596,93,212.173295,123.772761,74.822554
597,9,141.887643,182.080576,155.694746
598,90,193.731868,118.478929,131.038884
599,76,100.114522,135.004876,209.868356
600,47,201.095712,51.214501,26.091022
601,5,135.626518,180.452566,153.724276
602,16,102.394310,123.087334,210.065476
603,72,208.006921,130.319422,84.278734
604,29,211.499769,87.858496,46.411264
605,47,142.474636,69.105231,129.678215
606,91,213.192875,91.961303,55.861341
607,58,129.284765,175.327061,161.050927
608,20,118.149351,159.529317,212.229362
609,49,122.447224,117.487323,251.611352
610,30,128.275795,228.089610,47.564896
611,72,107.547983,114.008676,225.586702
612,81,96.974788,28.683179,17.681933
613,21,87.180963,28.510747,14.851059
614,15,48.707397,128.263563,80.526696
615,49,152.410567,44.219379,71.909535
616,60,151.558483,177.802105,140.734163
617,36,169.196500,58.836351,85.810053
618,78,140.221008,166.739607,189.816583
619,21,170.375592,55.291115,77.804321
620,19,207.990719,63.305434,35.025632
621,83,149.552228,43.895962,67.902652
622,75,115.608637,54.953081,102.092208
623,90,202.682689,44.248246,14.530707
624,5,201.477754,48.303401,21.849480
625,55,211.722871,85.999091,50.101690
626,59,176.299985,64.750958,88.526429
627,46,121.057709,179.334620,168.657418
628,91,16.182938,126.373972,4.117232
629,97,171.549087,172.705735,131.639021
630,75,117.922541,158.233425,207.308545
631,17,179.572595,174.274288,124.046443
632,13,192.411494,94.181824,114.619641
633,23,99.898247,211.510955,69.599675
634,22,180.905049,73.197505,101.582897
635,53,146.383091,65.942883,125.278593
636,71,104.410711,111.177285,227.383112
637,55,203.251778,47.782432,17.687990
638,86,172.488411,96.360483,154.568283
639,37,161.952701,112.912843,199.855921
640,24,215.749686,86.813247,52.441826
641,34,51.790854,118.818938,90.253653
642,74,185.841048,142.006722,150.012762
643,56,216.493408,97.653018,59.341678
644,5,143.466411,65.699528,118.897406
645,30,184.689946,144.855701,154.756396
646,49,136.340063,116.448527,251.080791
647,52,169.756967,108.011845,168.204925
648,0,124.924837,164.876839,201.721006
649,38,215.246686,127.831851,81.220144
650,53,194.474987,31.720031,9.243298
651,36,136.995161,115.993148,254.524616
652,94,102.610721,134.936454,230.366925
653,77,45.176680,188.755702,35.880765
654,76,116.257715,111.232645,232.746144
655,23,118.873239,170.744771,169.876912
656,41,112.912426,173.036887,180.912395
657,37,12.883361,121.555328,4.166109
658,98,116.480198,106.711445,231.768589
659,9,137.367801,33.122616,52.679685
660,68,155.281479,47.975333,69.114921
661,64,169.775671,155.384938,163.362868
662,30,196.650734,161.603934,106.450739
663,34,118.208748,26.166291,38.999612
664,87,149.047570,184.359289,145.486568
665,36,205.750299,63.471779,30.821848
666,64,188.960214,34.305921,7.567602
667,92,90.234458,30.327487,14.339958
668,33,79.573829,27.592761,7.223855
669,95,41.780393,169.733852,53.331561
670,99,95.181418,134.983870,209.757246
671,7,177.120175,173.328279,130.221082
672,59,174.380566,68.841637,94.602408
673,81,165.159132,52.575416,80.349630
674,69,115.987493,138.488840,244.871693
675,18,83.311689,23.093991,3.440919
